% time	cellId	IMSI	RNTI	rsrp	sinr
0.0682143	2	2	1	0.00333333	7.02728e+12
0.0692143	1	1	1	0.00333333	7.02728e+12
0.0692143	2	2	1	0.00333333	7.02728e+12
0.0702143	1	1	1	0.00333333	7.02728e+12
0.0702143	2	2	1	0.00333333	7.02728e+12
0.0712143	1	1	1	0.00333333	7.02728e+12
0.0712143	2	2	1	0.00333333	7.02728e+12
0.0722143	1	1	1	0.00333333	7.02728e+12
0.0722143	2	2	1	0.00333333	7.02728e+12
0.0732143	1	1	1	0.00333333	7.02728e+12
0.0732143	2	2	1	0.00333333	7.02728e+12
0.0742143	1	1	1	0.00333333	7.02728e+12
0.0742143	2	2	1	0.00333333	7.02728e+12
0.0752143	1	1	1	0.00333333	7.02728e+12
0.0752143	2	2	1	0.00333333	7.02728e+12
0.0762143	1	1	1	0.00333333	7.02728e+12
0.0762143	2	2	1	0.00333333	7.02728e+12
0.0772143	1	1	1	0.00333333	7.02728e+12
0.0772143	2	2	1	0.00333333	7.02728e+12
0.0782143	1	1	1	0.00333333	7.02728e+12
0.0782143	2	2	1	0.00333333	7.02728e+12
0.0792143	1	1	1	0.00333333	7.02728e+12
0.0792143	2	2	1	0.00333333	7.02728e+12
0.0802143	1	1	1	0.00333333	7.02728e+12
0.0802143	2	2	1	0.00333333	7.02728e+12
0.0812143	1	1	1	0.00333333	7.02728e+12
0.0812143	2	2	1	0.00333333	7.02728e+12
0.0822143	1	1	1	0.00333333	7.02728e+12
0.0822143	2	2	1	0.00333333	7.02728e+12
0.0832143	1	1	1	0.00333333	7.02728e+12
0.0832143	2	2	1	0.00333333	7.02728e+12
0.0842143	1	1	1	0.00333333	7.02728e+12
0.0842143	2	2	1	0.00333333	7.02728e+12
0.0852143	1	1	1	0.00333333	7.02728e+12
0.0852143	2	2	1	0.00333333	7.02728e+12
0.0312143	5	10	1	2.29818e-08	2.12464
0.0862143	1	1	1	0.00333333	7.02728e+12
0.0862143	2	2	1	0.00333333	7.02728e+12
0.0472143	1	2	3	4.22698e-13	891.204
0.0292143	1	2	2	0.000328732	75616.3
0.0362143	1	1	1	4.22113e-11	88989.2
0.0292143	1	3	3	0.0114831	6.44455e+06
0.0872143	1	1	1	0.00333333	7.02728e+12
0.0472143	1	3	1	4.22698e-13	891.204
0.0372143	1	1	1	4.22113e-11	88989.2
0.0382143	1	1	1	4.22113e-11	88989.2
0.0872143	2	2	1	0.00333333	7.02728e+12
0.0292143	2	4	2	0.00829722	803484
0.0702143	1	1	1	1.35925e-07	2.86556e+08
0.0882143	1	1	1	0.00333333	7.02728e+12
0.0392143	1	1	1	4.22113e-11	88989.2
0.0882143	2	2	1	0.00333333	7.02728e+12
0.0292143	2	5	1	0.00691353	1.16629e+06
0.0612143	1	1	1	0.00333333	7.02728e+12
0.0892143	1	1	1	0.00333333	7.02728e+12
0.0892143	2	2	1	0.00333333	7.02728e+12
0.0292143	2	6	3	0.0295529	3.07354e+07
0.0402143	1	1	1	4.22113e-11	88989.2
0.0902143	1	1	1	0.00333333	7.02728e+12
0.0902143	2	2	1	0.00333333	7.02728e+12
0.0712143	1	1	1	1.35925e-07	2.86556e+08
0.0292143	3	7	2	0.0609386	7.849e+07
0.0912143	1	1	1	0.00333333	7.02728e+12
0.0412143	1	1	1	4.22113e-11	88989.2
0.0912143	2	2	1	0.00333333	7.02728e+12
0.0622143	1	1	1	0.00333333	7.02728e+12
0.0292143	3	8	1	0.00055441	93672.3
0.0482143	1	1	2	4.22698e-13	891.204
0.0922143	1	1	1	0.00333333	7.02728e+12
0.0422143	1	1	1	4.22113e-11	88989.2
0.0482143	1	2	3	4.22698e-13	891.204
0.0922143	2	2	1	0.00333333	7.02728e+12
0.0292143	3	9	3	0.00905964	9.82376e+06
0.0482143	1	3	1	4.22698e-13	891.204
0.0932143	1	1	1	0.00333333	7.02728e+12
0.0722143	1	1	1	1.35925e-07	2.86556e+08
0.0932143	2	2	1	0.00333333	7.02728e+12
0.0292143	4	10	3	0.00414482	1.34617e+06
0.0432143	1	1	1	4.22113e-11	88989.2
0.0942143	1	1	1	0.00333333	7.02728e+12
0.0942143	2	2	1	0.00333333	7.02728e+12
0.0292143	4	11	2	0.0771702	1.32605e+07
0.0632143	1	1	1	0.00333333	7.02728e+12
0.0952143	1	1	1	0.00333333	7.02728e+12
0.0322143	1	1	1	1.35925e-07	5.55702
0.0952143	2	2	1	0.00333333	7.02728e+12
0.0442143	1	1	1	4.22113e-11	88989.2
0.0292143	4	12	1	0.0144544	2.58655e+06
0.0962143	1	1	1	0.00333333	7.02728e+12
0.0492143	1	1	2	4.22698e-13	891.204
0.0322143	1	2	2	1.29123e-07	5.34057
0.0962143	2	2	1	0.00333333	7.02728e+12
0.0732143	1	1	1	1.35925e-07	2.86556e+08
0.0972143	1	1	1	0.00333333	7.02728e+12
0.0492143	1	2	3	4.22698e-13	891.204
0.0972143	2	2	1	0.00333333	7.02728e+12
0.0292143	5	13	1	0.00118452	2.05358e+06
0.0982143	1	1	1	0.00333333	7.02728e+12
0.0452143	1	1	1	4.22113e-11	88989.2
0.0322143	2	3	1	2.73664e-08	1.61115
0.0982143	2	2	1	0.00333333	7.02728e+12
0.0292143	5	14	2	0.014283	3.51546e+06
0.0492143	1	3	1	4.22698e-13	891.204
0.0642143	1	1	1	0.00333333	7.02728e+12
0.0992143	1	1	1	0.00333333	7.02728e+12
0.0322143	2	4	2	1.17333e-07	6.04923
0.0992143	2	2	1	0.00333333	7.02728e+12
0.0462143	1	1	1	4.22113e-11	88989.2
0.0292143	5	15	3	0.0012764	331852
0.100214	1	1	1	0.00333333	7.02728e+12
0.0322143	3	5	2	5.7693e-08	2.45217
0.100214	2	2	1	0.00333333	7.02728e+12
0.0472143	1	1	1	4.22113e-11	88989.2
0.0322143	3	6	1	1.02661e-07	9.56154
0.0742143	1	1	1	1.35925e-07	2.86556e+08
0.0322143	4	7	1	5.58632e-08	4.86241
0.0292143	6	16	1	0.0215626	3.41966e+06
0.101214	1	1	1	0.00333333	7.02728e+12
0.0652143	1	1	1	0.00333333	7.02728e+12
0.101214	2	2	1	0.00333333	7.02728e+12
0.0322143	4	8	2	3.62359e-08	1.65206
0.102214	1	1	1	0.00333333	7.02728e+12
0.0292143	6	17	2	0.0119628	9.88332e+06
0.102214	2	2	1	0.00333333	7.02728e+12
0.0322143	5	9	2	4.65211e-08	3.1381
0.0292143	6	18	3	0.00202089	400814
0.0482143	1	1	1	4.22113e-11	88989.2
0.103214	1	1	1	0.00333333	7.02728e+12
0.0322143	5	10	1	2.29818e-08	2.12464
0.103214	2	2	1	0.00333333	7.02728e+12
0.0502143	1	1	2	4.22698e-13	891.204
0.104214	1	1	1	0.00333333	7.02728e+12
0.0502143	1	2	3	4.22698e-13	891.204
0.104214	2	2	1	0.00333333	7.02728e+12
0.0752143	1	1	1	1.35925e-07	2.86556e+08
0.0662143	1	1	1	0.00333333	7.02728e+12
0.0502143	1	3	1	4.22698e-13	891.204
0.105214	1	1	1	0.00333333	7.02728e+12
0.105214	2	2	1	0.00333333	7.02728e+12
0.106214	1	1	1	0.00333333	7.02728e+12
0.0492143	1	1	1	4.22113e-11	88989.2
0.106214	2	2	1	0.00333333	7.02728e+12
0.107214	1	1	1	0.00333333	7.02728e+12
0.107214	2	2	1	0.00333333	7.02728e+12
0.108214	1	1	1	0.00333333	7.02728e+12
0.0672143	1	1	1	0.00333333	7.02728e+12
0.0762143	1	1	1	1.35925e-07	2.86556e+08
0.108214	2	2	1	0.00333333	7.02728e+12
0.109214	1	1	1	0.00333333	7.02728e+12
0.109214	2	2	1	0.00333333	7.02728e+12
0.0512143	1	1	2	4.22698e-13	891.204
0.110214	1	1	1	0.00333333	7.02728e+12
0.0512143	1	2	3	4.22698e-13	891.204
0.0502143	1	1	1	4.22113e-11	88989.2
0.110214	2	2	1	0.00333333	7.02728e+12
0.0512143	1	3	1	4.22698e-13	891.204
0.111214	1	1	1	0.00333333	7.02728e+12
0.0682143	1	1	1	0.00333333	7.02728e+12
0.111214	2	2	1	0.00333333	7.02728e+12
0.0772143	1	1	1	1.35925e-07	2.86556e+08
0.112214	1	1	1	0.00333333	7.02728e+12
0.112214	2	2	1	0.00333333	7.02728e+12
0.0512143	1	1	1	4.22113e-11	88989.2
0.113214	1	1	1	0.00333333	7.02728e+12
0.113214	2	2	1	0.00333333	7.02728e+12
0.114214	1	1	1	0.00333333	7.02728e+12
0.0692143	1	1	1	0.00333333	7.02728e+12
0.114214	2	2	1	0.00333333	7.02728e+12
0.0522143	1	1	1	4.22113e-11	88989.2
0.0782143	1	1	1	1.35925e-07	2.86556e+08
0.0522143	1	1	2	4.22698e-13	891.204
0.0522143	1	2	3	4.22698e-13	891.204
0.115214	1	1	1	0.00333333	7.02728e+12
0.0532143	1	1	1	4.22113e-11	88989.2
0.0522143	1	3	1	4.22698e-13	891.204
0.115214	2	2	1	0.00333333	7.02728e+12
0.0542143	1	1	1	4.22113e-11	88989.2
0.0702143	1	1	1	0.00333333	7.02728e+12
0.116214	1	1	1	0.00333333	7.02728e+12
0.0552143	1	1	1	4.22113e-11	88989.2
0.116214	2	2	1	0.00333333	7.02728e+12
0.0792143	1	1	1	1.35925e-07	2.86556e+08
0.117214	1	1	1	0.00333333	7.02728e+12
0.0562143	1	1	1	4.22113e-11	88989.2
0.0572143	1	1	1	4.22113e-11	88989.2
0.117214	2	2	1	0.00333333	7.02728e+12
0.0302143	1	1	1	0.000616772	697200
0.0712143	1	1	1	0.00333333	7.02728e+12
0.0302143	1	2	2	0.000328732	75616.3
0.0332143	1	1	1	1.35925e-07	5.55702
0.0302143	1	3	3	0.0114831	6.44455e+06
0.118214	1	1	1	0.00333333	7.02728e+12
0.0332143	1	2	2	1.29123e-07	5.34057
0.0582143	1	1	1	4.22113e-11	88989.2
0.0302143	2	4	2	0.00829722	803484
0.0802143	1	1	1	1.35925e-07	2.86556e+08
0.0532143	1	1	2	4.22698e-13	891.204
0.118214	2	2	1	0.00333333	7.02728e+12
0.0332143	2	3	1	2.73664e-08	1.61115
0.0302143	2	5	1	0.00691353	1.16629e+06
0.0592143	1	1	1	4.22113e-11	88989.2
0.0532143	1	2	3	4.22698e-13	891.204
0.0332143	2	4	2	1.17333e-07	6.04923
0.0302143	2	6	3	0.0295529	3.07354e+07
0.119214	1	1	1	0.00333333	7.02728e+12
0.0602143	1	1	1	4.22113e-11	88989.2
0.0722143	1	1	1	0.00333333	7.02728e+12
0.0532143	1	3	1	4.22698e-13	891.204
0.0302143	3	7	2	0.0609386	7.849e+07
0.0332143	3	5	2	5.7693e-08	2.45217
0.119214	2	2	1	0.00333333	7.02728e+12
0.0332143	3	6	1	1.02661e-07	9.56154
0.0612143	1	1	1	4.22113e-11	88989.2
0.0302143	3	8	1	0.00055441	93672.3
0.0622143	1	1	1	4.22113e-11	88989.2
0.0332143	4	7	1	5.58632e-08	4.86241
0.0812143	1	1	1	1.35925e-07	2.86556e+08
0.0302143	3	9	3	0.00905964	9.82376e+06
0.120214	1	1	1	0.00333333	7.02728e+12
0.0632143	1	1	1	4.22113e-11	88989.2
0.0332143	4	8	2	3.62359e-08	1.65206
0.120214	2	2	1	0.00333333	7.02728e+12
0.0732143	1	1	1	0.00333333	7.02728e+12
0.0302143	4	10	3	0.00414482	1.34617e+06
0.0642143	1	1	1	4.22113e-11	88989.2
0.0332143	5	9	2	4.65211e-08	3.1381
0.0652143	1	1	1	4.22113e-11	88989.2
0.0302143	4	11	2	0.0771702	1.32605e+07
0.0332143	5	10	1	2.29818e-08	2.12464
0.0662143	1	1	1	4.22113e-11	88989.2
0.0302143	4	12	1	0.0144544	2.58655e+06
0.0672143	1	1	1	4.22113e-11	88989.2
0.0542143	1	1	2	4.22698e-13	891.204
0.0302143	5	13	1	0.00118452	2.05358e+06
0.0822143	1	1	1	1.35925e-07	2.86556e+08
0.121214	1	1	1	0.00333333	7.02728e+12
0.0742143	1	1	1	0.00333333	7.02728e+12
0.0542143	1	2	3	4.22698e-13	891.204
0.121214	2	2	1	0.00333333	7.02728e+12
0.0302143	5	14	2	0.014283	3.51546e+06
0.0302143	5	15	3	0.0012764	331852
0.0542143	1	3	1	4.22698e-13	891.204
0.0682143	1	1	1	4.22113e-11	88989.2
0.0302143	6	16	1	0.0215626	3.41966e+06
0.0832143	1	1	1	1.35925e-07	2.86556e+08
0.0302143	6	17	2	0.0119628	9.88332e+06
0.0692143	1	1	1	4.22113e-11	88989.2
0.0752143	1	1	1	0.00333333	7.02728e+12
0.0302143	6	18	3	0.00202089	400814
0.122214	1	1	1	0.00333333	7.02728e+12
0.122214	2	2	1	0.00333333	7.02728e+12
0.0702143	1	1	1	4.22113e-11	88989.2
0.0842143	1	1	1	1.35925e-07	2.86556e+08
0.0552143	1	1	2	4.22698e-13	891.204
0.0762143	1	1	1	0.00333333	7.02728e+12
0.0552143	1	2	3	4.22698e-13	891.204
0.0712143	1	1	1	4.22113e-11	88989.2
0.0552143	1	3	1	4.22698e-13	891.204
0.0722143	1	1	1	4.22113e-11	88989.2
0.0852143	1	1	1	1.35925e-07	2.86556e+08
0.0732143	1	1	1	4.22113e-11	88989.2
0.0772143	1	1	1	0.00333333	7.02728e+12
0.123214	1	1	1	0.00333333	7.02728e+12
0.0742143	1	1	1	4.22113e-11	88989.2
0.123214	2	2	1	0.00333333	7.02728e+12
0.0752143	1	1	1	4.22113e-11	88989.2
0.0562143	1	1	2	4.22698e-13	891.204
0.0862143	1	1	1	1.35925e-07	2.86556e+08
0.0782143	1	1	1	0.00333333	7.02728e+12
0.0562143	1	2	3	4.22698e-13	891.204
0.0562143	1	3	1	4.22698e-13	891.204
0.124214	1	1	1	0.00333333	2.84283e+07
0.0762143	1	1	1	4.22113e-11	88989.2
0.124214	2	2	1	0.00333333	2.84283e+07
0.0772143	1	1	1	4.22113e-11	88989.2
0.0872143	1	1	1	1.35925e-07	2.86556e+08
0.0342143	1	1	1	1.35925e-07	5.55702
0.0792143	1	1	1	0.00333333	7.02728e+12
0.0342143	1	2	2	1.29123e-07	5.34057
0.0782143	1	1	1	4.22113e-11	88989.2
0.125214	1	1	1	0.00333333	2.84283e+07
0.125214	2	2	1	0.00333333	2.84283e+07
