% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct
51	5	14	2	0	0	28	2196	0	1	1
51	6	17	2	0	0	28	2196	0	1	1
346	1	1	1	0	0	28	2196	0	1	1
188	1	3	1	0	0	28	2196	0	1	1
338	1	1	1	0	0	28	2196	0	1	1
347	1	1	1	0	0	28	2196	0	1	1
68	1	2	2	0	0	12	597	0	1	1
68	2	3	1	0	0	8	421	0	1	1
68	3	5	2	0	0	8	421	0	1	1
68	4	8	2	0	0	8	421	0	1	1
68	5	10	1	0	0	8	421	0	1	1
348	1	1	1	0	0	28	2196	0	1	1
339	1	1	1	0	0	28	2196	0	1	1
189	1	1	2	0	0	28	2196	0	1	1
340	1	1	1	0	0	28	2196	0	1	1
349	1	1	1	0	0	28	2196	0	1	1
350	1	1	1	0	0	28	2196	0	1	1
190	1	2	3	0	0	28	2196	0	1	1
341	1	1	1	0	0	28	2196	0	1	1
823	1	1	1	0	0	28	2196	0	1	1
823	2	2	1	0	0	28	2196	0	1	1
351	1	1	1	0	0	28	2196	0	1	1
824	1	1	1	0	0	28	2196	0	1	1
824	2	2	1	0	0	28	2196	0	1	1
342	1	1	1	0	0	28	2196	0	1	1
352	1	1	1	0	0	28	2196	0	1	1
191	1	3	1	0	0	28	2196	0	1	1
343	1	1	1	0	0	28	2196	0	1	1
353	1	1	1	0	0	28	2196	0	1	1
344	1	1	1	0	0	28	2196	0	1	1
354	1	1	1	0	0	28	2196	0	1	1
192	1	1	2	0	0	28	2196	0	1	1
345	1	1	1	0	0	28	2196	0	1	1
355	1	1	1	0	0	28	2196	0	1	1
69	1	1	1	0	0	12	597	0	1	1
69	2	4	2	0	0	14	775	0	1	1
69	3	6	1	0	0	14	775	0	1	1
346	1	1	1	0	0	28	2196	0	1	1
69	4	7	1	0	0	12	597	0	1	1
356	1	1	1	0	0	28	2196	0	1	1
69	5	9	2	0	0	10	469	0	1	1
193	1	2	3	0	0	28	2196	0	1	1
347	1	1	1	0	0	28	2196	0	1	1
357	1	1	1	0	0	28	2196	0	1	1
348	1	1	1	0	0	28	2196	0	1	1
52	1	3	3	0	0	28	2196	0	1	1
52	2	6	3	0	0	28	2196	0	1	1
52	3	9	3	0	0	28	2196	0	1	1
358	1	1	1	0	0	28	2196	0	1	1
52	4	10	3	0	0	28	2196	0	1	1
52	5	15	3	0	0	28	2196	0	1	1
52	6	18	3	0	0	28	2196	0	1	1
194	1	3	1	0	0	28	2196	0	1	1
349	1	1	1	0	0	28	2196	0	1	1
359	1	1	1	0	0	28	2196	0	1	1
350	1	1	1	0	0	28	2196	0	1	1
360	1	1	1	0	0	28	2196	0	1	1
195	1	1	2	0	0	28	2196	0	1	1
351	1	1	1	0	0	28	2196	0	1	1
361	1	1	1	0	0	28	2196	0	1	1
352	1	1	1	0	0	28	2196	0	1	1
362	1	1	1	0	0	28	2196	0	1	1
196	1	2	3	0	0	28	2196	0	1	1
353	1	1	1	0	0	28	2196	0	1	1
70	1	2	2	0	0	12	597	0	1	1
70	2	3	1	0	0	8	421	0	1	1
70	3	5	2	0	0	8	421	0	1	1
363	1	1	1	0	0	28	2196	0	1	1
70	4	8	2	0	0	8	421	0	1	1
354	1	1	1	0	0	28	2196	0	1	1
70	5	10	1	0	0	8	421	0	1	1
364	1	1	1	0	0	28	2196	0	1	1
197	1	3	1	0	0	28	2196	0	1	1
355	1	1	1	0	0	28	2196	0	1	1
365	1	1	1	0	0	28	2196	0	1	1
356	1	1	1	0	0	28	2196	0	1	1
366	1	1	1	0	0	28	2196	0	1	1
198	1	1	2	0	0	28	2196	0	1	1
357	1	1	1	0	0	28	2196	0	1	1
367	1	1	1	0	0	28	2196	0	1	1
358	1	1	1	0	0	28	2196	0	1	1
368	1	1	1	0	0	28	2196	0	1	1
199	1	2	3	0	0	28	2196	0	1	1
359	1	1	1	0	0	28	219
