% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.032	3	9	4	3	3	0	26
0.103	1	1	11	4	1	28	2292
0.171	2	2	18	2	1	22	1431
0.032	4	12	4	3	1	0	26
0.098	1	1	10	9	1	28	2292
0.09	1	1	10	1	1	28	2292
0.051	6	7	6	2	1	8	137
0.032	4	11	4	3	2	0	26
0.062	1	3	7	3	1	28	749
0.051	6	23	6	2	2	2	41
0.032	4	10	4	3	3	0	26
0.172	1	1	18	3	1	22	1431
0.062	1	1	7	3	2	28	749
0.051	6	13	6	2	3	4	69
0.062	1	2	7	3	3	28	749
0.172	2	2	18	3	1	22	1431
0.051	7	11	6	2	1	6	101
0.032	5	13	4	3	1	0	26
0.051	7	9	6	2	2	16	309
0.173	1	1	18	4	1	22	1431
0.032	5	14	4	3	2	0	26
0.051	7	10	6	2	3	12	201
0.032	5	15	4	3	3	0	26
0.099	1	1	10	10	1	28	2292
0.091	1	1	10	2	1	28	2292
0.173	2	2	18	4	1	22	1431
0.051	8	20	6	2	1	10	501
0.032	6	16	4	3	1	0	26
0.032	6	17	4	3	2	0	26
0.032	6	18	4	3	3	0	26
0.051	9	6	6	2	1	2	41
0.174	1	1	18	5	1	22	1431
0.1	1	1	11	1	1	28	2292
0.174	2	2	18	5	1	22	1431
0.051	10	1	6	2	1	18	999
0.063	1	3	7	4	1	28	749
0.051	11	2	6	2	1	12	621
0.063	1	1	7	4	2	28	749
0.092	1	1	10	3	1	28	2292
0.175	1	1	18	6	1	22	1431
0.063	1	2	7	4	3	28	749
0.051	12	3	6	2	1	28	2292
0.175	2	2	18	6	1	22	1431
0.036	1	1	4	7	1	6	153
0.101	1	1	11	2	1	28	2292
0.036	1	2	4	7	2	4	105
0.051	13	4	6	2	1	28	2292
0.036	2	3	4	7	1	6	153
0.036	2	4	4	7	2	4	105
0.176	1	1	18	7	1	22	1431
0.111	2	1	12	2	1	0	85
0.102	1	1	11	3	1	28	2292
0.036	3	6	4	7	1	4	105
0.176	2	2	18	7	1	22	1431
0.093	1	1	10	4	1	28	2292
0.036	3	5	4	7	2	8	209
0.112	2	1	12	3	1	0	85
0.036	4	7	4	7	1	6	153
0.177	1	1	18	8	1	22	1431
0.036	4	8	4	7	2	6	153
0.064	1	3	7	5	1	28	749
0.064	1	1	7	5	2	28	749
0.103	1	1	11	4	1	28	2292
0.113	2	1	12	4	1	0	85
0.177	2	2	18	8	1	22	1431
0.064	1	2	7	5	3	28	749
0.036	5	10	4	7	1	6	153
0.052	1	22	6	3	1	4	105
0.094	1	1	10	5	1	28	2292
0.036	5	9	4	7	2	6	153
0.052	1	18	6	3	2	2	65
0.114	2	1	12	5	1	0	85
0.178	1	1	18	9	1	22	1431
0.052	2	15	6	3	1	4	105
0.178	2	2	18	9	1	22	1431
0.115	2	1	12	6	1	0	85
0.052	2	14	6	3	2	8	209
0.104	1	1	11	5	1	28	2292
0.052	3	17	6	3	1	14	389
0.179	1	1	18	10	1	22	1431
0.052	3	16	6	3	2	6	153
0.095	1	1	10	6	1	28	2292
0.116	2	1	12	7	1	0	85
0.179	2	2	18	10	1	22	1431
0.117	2	1	12	8	1	0	85
0.065	1	3	7	6	1	28	749
0.052	6	7	6	3	1	8	137
0.065	1	1	7	6	2	28	749
0.052	6	23	6	3	2	2	41
0.105	1	1	11	6	1	28	2292
0.065	1	2	7	6	3	28	749
0.052	6	13	6	3	3	4	69
0.18	1	1	19	1	1	22	1431
0.052	7	11	6	3	1	6	101
0.18	2	2	19	1	1	22	1431
0.052	7	9	6	3	2	16	309
0.052	7	10	6	3	3	12	201
0.181	1	1	19	2	1	22	1431
0.052	8	20	6	3	1	10	501
0.181	2	2	19	2	1	22	1431
0.052	9	6	6	3	1	2	41
0.052	10	1	6	3	1	18	999
0.182	1	1	19	3	1	22	1431
0.096	1	1	10	7	1	28	2292
0.182	2	2	19	3	1	22	1431
0.118	2	1	12	9	1	28	2292
0.052	11	2	6	3	1	12	621
0.106	1	1	11	7	1	28	2292
0.183	1	1	19	4	1	22	1431
0.052	12	3	6	3	1	28	2292
0.066	1	3	7	7	1	28	749
